Data Retrieved At (VN),Flight Date,Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 23:40:26,2026-04-09,Arrival,22:10,22:45,Hải Phòng,VJ 283,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,22:45,22:55,Hà Nội,QH 273,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,22:50,23:05,Vinh,VJ 217,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:10,,Vinh,VN 1269,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:15,,Đà Nẵng,VJ 647,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:15,22:55,Phú Quốc,VN 1834,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:10,23:15,Hà Nội,VN 221,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:30,23:25,Hà Nội,QH 281,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:35,23:30,Hà Nội,9G 883,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Arrival,23:35,00:15,Hà Nội,VJ 163,Đến trễ
2026-04-09 23:40:26,2026-04-09,Arrival,22:10,,Hà Nội,VN 263,
2026-04-09 23:40:26,2026-04-09,Arrival,22:10,,Hà Nội,VU 787,
2026-04-09 23:40:26,2026-04-09,Arrival,22:20,,Hà Nội,VJ 159,
2026-04-09 23:40:26,2026-04-09,Arrival,22:25,,Hải Phòng,VJ 283,
2026-04-09 23:40:26,2026-04-09,Arrival,22:40,,Hà Nội,VN 265,
2026-04-09 23:40:26,2026-04-09,Arrival,22:40,,Hải Phòng,VN 1187,
2026-04-09 23:40:26,2026-04-09,Arrival,22:40,,Đà Nẵng,VN 143,
2026-04-09 23:40:26,2026-04-09,Arrival,22:55,,Cam Ranh,VN 1351,
2026-04-09 23:40:26,2026-04-09,Arrival,23:10,,Hà Nội,VN 221,
2026-04-09 23:40:26,2026-04-09,Arrival,23:10,,Vinh,VN 1269,
2026-04-09 23:40:26,2026-04-09,Arrival,23:15,,Đà Nẵng,VJ 647,
2026-04-09 23:40:26,2026-04-09,Arrival,23:15,,Phú Quốc,VN 1834,
2026-04-09 23:40:26,2026-04-09,Arrival,23:20,,Vinh,VJ 217,
2026-04-09 23:40:26,2026-04-09,Arrival,23:30,,Hà Nội,QH 281,
2026-04-09 23:40:26,2026-04-09,Arrival,23:35,,Hà Nội,VJ 163,
2026-04-09 23:40:26,2026-04-09,Arrival,23:35,,Hà Nội,9G 883,
2026-04-09 23:40:26,2026-04-09,Departure,22:10,22:45,Hải Phòng,VJ 283,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,22:45,22:55,Hà Nội,QH 273,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,22:50,23:05,Vinh,VJ 217,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:10,,Vinh,VN 1269,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:15,,Đà Nẵng,VJ 647,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:15,22:55,Phú Quốc,VN 1834,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:10,23:15,Hà Nội,VN 221,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:30,23:25,Hà Nội,QH 281,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:35,23:30,Hà Nội,9G 883,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:35,00:15,Hà Nội,VJ 163,Đến trễ
2026-04-09 23:40:26,2026-04-09,Departure,22:10,,Hà Nội,VN 263,
2026-04-09 23:40:26,2026-04-09,Departure,22:10,,Hà Nội,VU 787,
2026-04-09 23:40:26,2026-04-09,Departure,22:20,,Hà Nội,VJ 159,
2026-04-09 23:40:26,2026-04-09,Departure,22:25,,Hải Phòng,VJ 283,
2026-04-09 23:40:26,2026-04-09,Departure,22:40,,Hà Nội,VN 265,
2026-04-09 23:40:26,2026-04-09,Departure,22:40,,Hải Phòng,VN 1187,
2026-04-09 23:40:26,2026-04-09,Departure,22:40,,Đà Nẵng,VN 143,
2026-04-09 23:40:26,2026-04-09,Departure,22:55,,Cam Ranh,VN 1351,
2026-04-09 23:40:26,2026-04-09,Departure,23:10,,Hà Nội,VN 221,
2026-04-09 23:40:26,2026-04-09,Departure,23:10,,Vinh,VN 1269,
2026-04-09 23:40:26,2026-04-09,Departure,23:15,,Đà Nẵng,VJ 647,
2026-04-09 23:40:26,2026-04-09,Departure,23:15,,Phú Quốc,VN 1834,
2026-04-09 23:40:26,2026-04-09,Departure,23:20,,Vinh,VJ 217,
2026-04-09 23:40:26,2026-04-09,Departure,23:30,,Hà Nội,QH 281,
2026-04-09 23:40:26,2026-04-09,Departure,23:35,,Hà Nội,VJ 163,
2026-04-09 23:40:26,2026-04-09,Departure,23:35,,Hà Nội,9G 883,
